# version<TAB>summary
# Source for the About page. A blank version is unreleased: packaging
# concatenates those rows under APP_VERSION_NAME (tools/release-notes.py).
# Stamp blank rows with the published versionName before adding a new one
# (tools/seal-changelog.py).

	Hold ❮/❯ while listening to jump a whole chapter
1.34.2	Add a Documents section for pasted text
1.34.1	Don't start TTS until a voice is ready
1.33.30	Show the download website on novel info
1.33.29	Explain settings help in everyday language
1.33.28	Cache per-novel storage size until files change
1.33.27	Fix Settings storage size staying on …
1.33.26	Don't report a lost download folder as empty
1.33.25	Show total novel storage on Settings
1.33.24	Show release notes in a dialog from Version
1.33.23	Release notes on the About page
1.33.21	Split novel info and chapters into tabs
1.33.20	Show library ratings as 10★
1.33.19	Sort the library by stars; remove the hot mark
1.33.18	Show library ratings as 10×★
1.33.17	Redesign the chapter list as a novel detail page
1.33.16	Tint the help icon with the app palette
1.33.15	Circular help icon
1.33.14	Novel info header and personal star ranking
1.33.13	Move settings descriptions behind help icons
1.33.12	Automatic novel status check on a 0–7 day interval
1.33.11	Show UP TO DATE as a library tag
1.33.10	Disable auto-download when the novel is finished
1.33.9	Chapter list loads a window around the current chapter
1.33.8	Start on Library; drop Home; console footer on Library
1.33.7	Microphone icon for the voice-settings button
1.33.6	Bigger voice button; skip controls closer in
1.33.5	Shorter reader footer
1.33.4	Bigger TTS transport buttons
1.33.3	Paragraph skip buttons (and headset skip keys); font size cap 50
1.33.1	Re-center the double-tapped sentence once the gesture ends
1.32.11	Stop force-deleting the end-of-book terminator
1.32.10	Stop the poll chain starving the TTS caller's shared timer
1.32.9	Re-arm the short-page poll chain instead of letting it die
1.32.8	Retry a short-page relist while the download runs
1.32.7	Re-arm the relist latch
1.32.6	Live-listing in the reader, plus defects in the previous fixes
1.32.5	Fix seven more in the reader and TTS
1.32.4	Fix eight more, including two in the previous round's fixes
1.32.3	Fix nine reader, TTS, and download defects
1.32.2	Back from the reader lands on the chapter list
1.32.1	Resume a status check where the listing ended; per-novel settings
1.31.40	Move the English/Vietnamese line to 90% unaccented characters
1.31.39	Decide the TTS language by counting over a whole chapter
1.31.38	Sort the voice picker by what the reader can actually see
1.31.36	Offer only the voices that render on the phone
1.31.35	Stop an empty buffer being read as English
1.31.34	Match a voice's language by either of its codes
1.31.33	Hand the translation over before deleting the duplicate that holds it
1.31.32	Remove the media-button route that could never carry a press
1.31.31	Stop the media path claiming credit the wrong thing earned
1.31.30	Load a small window of chapters in both directions
1.31.29	Make a sound so headset buttons are delivered here at all
1.31.28	Decide a headset press from whether the reader is speaking
1.31.27	Notice a translation that arrives after the listing was cached
1.31.26	Stop treating an empty URL as a novel page
1.31.25	Support freewebnovel.com
